Model,Train_Lang,Test_Lang,Target_Class,Precision,Recall,F1
XLM-R,sna,sna,PRON,0.5882352941176471,0.4081632653061224,0.4819277108433735
XLM-R,sna,sna,NUM,0.9529914529914528,0.435546875,0.5978552278820375
XLM-R,sna,sna,PART,0.0,0.0,0.0
XLM-R,all,sna,NOUN,0.9064710505632696,0.9175285070273136,0.911966262519768
XLM-R,all,sna,ADP,0.8400520156046815,0.9250596658711218,0.8805088596092685
XLM-R,all,sna,PROPN,0.9611708482676224,0.9241815048822516,0.9423133235724744
XLM-R,all,sna,ADJ,0.6642857142857143,0.1795366795366795,0.2826747720364742
XLM-R,all,sna,VERB,0.7942896456828346,0.9367139959432048,0.8596425912137007
XLM-R,all,sna,CCONJ,0.7312661498708011,0.7350649350649351,0.7331606217616581
XLM-R,all,sna,PUNCT,0.9611872146118722,0.9960567823343848,0.978311386522076
XLM-R,all,sna,ADV,0.3959731543624161,0.2432989690721649,0.301404853128991
XLM-R,all,sna,DET,0.7634529147982063,0.8254545454545454,0.7932440302853815
XLM-R,all,sna,SYM,0.0,0.0,0.0
XLM-R,all,sna,AUX,0.7683089214380826,0.6901913875598086,0.7271581600504096
XLM-R,all,sna,SCONJ,0.8181818181818182,0.5225806451612903,0.6377952755905512
XLM-R,all,sna,PRON,0.5306859205776173,0.6,0.5632183908045977
XLM-R,all,sna,NUM,0.8143382352941176,0.865234375,0.8390151515151515
XLM-R,all,sna,PART,0.0,0.0,0.0
XLM-R,all,kin,SYM,0.0,0.0,0.0
XLM-R,all,kin,VERB,0.9308208569953536,0.9524564183835182,0.941514360313316
XLM-R,all,kin,NUM,0.9477351916376306,1.0,0.9731663685152058
XLM-R,all,kin,PUNCT,0.9984842743463432,0.9996206373292869,0.9990521327014218
XLM-R,all,kin,NOUN,0.9009497964721844,0.9341586944288126,0.91725376433209
XLM-R,all,kin,ADP,0.9734278122232064,0.9838854073410922,0.9786286731967944
XLM-R,all,kin,PROPN,0.8872326636422554,0.9325613079019074,0.9093324476917968
XLM-R,all,kin,PRON,0.9215594175669328,0.9432692307692307,0.932287954383464
XLM-R,all,kin,DET,0.9906542056074766,0.8833333333333333,0.933920704845815
XLM-R,all,kin,CCONJ,0.9785202863961814,0.9903381642512076,0.9843937575030012
XLM-R,all,kin,ADJ,0.8125,0.0619047619047619,0.1150442477876106
XLM-R,all,kin,ADV,0.8731343283582089,0.4915966386554621,0.6290322580645161
XLM-R,all,kin,SCONJ,0.9714285714285714,0.8895348837209303,0.928679817905918
XLM-R,all,kin,PART,0.0,0.0,0.0
XLM-R,all,kin,AUX,0.0,0.0,0.0
XLM-R,all,kin,X,0.0,0.0,0.0
AfroLM,fon,ibo,NOUN,0.4771978498352696,0.380005523336095,0.4230917057421784
AfroLM,fon,ibo,ADP,0.0091324200913242,0.0042105263157894,0.0057636887608069
AfroLM,fon,ibo,PROPN,0.2741433021806853,0.933115823817292,0.4237821818855343
AfroLM,fon,ibo,VERB,0.3172295852928602,0.1643774922463447,0.2165474974463738
AfroLM,fon,ibo,CCONJ,0.0352941176470588,0.0214669051878354,0.0266963292547274
AfroLM,fon,ibo,NUM,0.2721311475409836,0.3878504672897196,0.3198458574181118
AfroLM,fon,ibo,PUNCT,0.7716701902748414,0.99617903930131,0.8696688110555159
AfroLM,fon,ibo,PRON,0.517162471395881,0.1418706842435656,0.2226600985221674
AfroLM,fon,ibo,SCONJ,0.0,0.0,0.0
AfroLM,fon,ibo,AUX,0.0,0.0,0.0
AfroLM,fon,ibo,DET,0.0,0.0,0.0
AfroLM,fon,ibo,PART,0.0,0.0,0.0
AfroLM,fon,ibo,ADV,0.0165476963011031,0.2615384615384615,0.0311260299054012
AfroLM,fon,ibo,ADJ,0.034889687018984,0.1428571428571428,0.0560824742268041
AfroLM,fon,ibo,SYM,0.0,0.0,0.0
AfroLM,fon,ibo,INTJ,0.0,0.0,0.0
AfroLM,fon,kin,SYM,0.0,0.0,0.0
AfroLM,fon,kin,VERB,0.1226415094339622,0.0171685155837295,0.0301204819277108
AfroLM,fon,kin,NUM,0.2899728997289973,0.3933823529411764,0.3338533541341654
AfroLM,fon,kin,PUNCT,0.9030324400564176,0.9715477996965098,0.9360380116959064
AfroLM,fon,kin,NOUN,0.3670466321243523,0.4983117613956105,0.4227234753550543
AfroLM,fon,kin,ADP,0.0031746031746031,0.000895255147717,0.0013966480446927
AfroLM,fon,kin,PROPN,0.2499108098465929,0.9543596730245232,0.3960983884648006
AfroLM,fon,kin,PRON,0.1333333333333333,0.0009615384615384,0.0019093078758949
AfroLM,fon,kin,DET,0.0,0.0,0.0
AfroLM,fon,kin,CCONJ,0.1052631578947368,0.0096618357487922,0.0176991150442477
AfroLM,fon,kin,ADJ,0.0336021505376344,0.119047619047619,0.0524109014675052
AfroLM,fon,kin,ADV,0.0378634212305611,0.2352941176470588,0.0652300524170064
AfroLM,fon,kin,SCONJ,0.0,0.0,0.0
AfroLM,fon,kin,PART,0.0,0.0,0.0
AfroLM,fon,kin,AUX,0.0,0.0,0.0
AfroLM,fon,kin,X,0.0,0.0,0.0
AfroLM,fon,sna,NOUN,0.3682602051953721,0.4473614425881729,0.4039750957854406
AfroLM,fon,sna,ADP,0.2868217054263566,0.0176610978520286,0.033273381294964
AfroLM,fon,sna,PROPN,0.3011519473395502,0.9460080413555428,0.4568654646324549
AfroLM,fon,sna,ADJ,0.0468085106382978,0.0849420849420849,0.0603566529492455
AfroLM,fon,sna,VERB,0.1206496519721577,0.0210953346855983,0.0359116022099447
AfroLM,fon,sna,CCONJ,0.4020618556701031,0.1012987012987013,0.1618257261410788
AfroLM,fon,sna,PUNCT,0.7551020408163265,0.9921135646687698,0.8575323790047716
AfroLM,fon,sna,ADV,0.0563467492260061,0.1876288659793814,0.0866666666666666
AfroLM,fon,sna,DET,0.0,0.0,0.0
AfroLM,fon,sna,SYM,0.0,0.0,0.0
AfroLM,fon,sna,AUX,0.0,0.0,0.0
AfroLM,fon,sna,SCONJ,0.0,0.0,0.0
AfroLM,fon,sna,PRON,0.1304347826086956,0.036734693877551,0.0573248407643312
AfroLM,fon,sna,NUM,0.1864406779661017,0.171875,0.1788617886178861
AfroLM,fon,sna,PART,0.0,0.0,0.0
AfroLM,ibo,ibo,NOUN,0.9107555555555557,0.7074012703673018,0.7963006139737312
AfroLM,ibo,ibo,ADP,0.7707581227436823,0.8989473684210526,0.8299319727891157
AfroLM,ibo,ibo,PROPN,0.8377386196769456,0.9306688417618272,0.8817619783616693
AfroLM,ibo,ibo,VERB,0.9390211286440224,0.7778023925564909,0.8508421180176905
AfroLM,ibo,ibo,CCONJ,0.792063492063492,0.8926654740608229,0.8393608074011775
